10205,127,10205,275653455122119,28929,67,49000,42.298252,-83.702713,231.0,2.4400001,89.987503,0.2,20.01,0.0,-4.6599998,1,-100.5,38
10205,127,10205,275653455235442,28929,68,49100,42.298252,-83.702713,231.0,2.46,89.75,0.17,20.01,-0.02,-2.3,1,-89.800003,50
10205,127,10205,275653455322135,28929,69,49200,42.298252,-83.702713,231.0,2.5,90.287498,0.17,20.01,-0.02,-2.3,1,-82.699997,84
10205,127,10205,275653455422015,28929,70,49300,42.298252,-83.702705,231.0,2.52,90.199997,0.19,20.01,-0.02,-0.77999997,1,-79.599998,54
10205,127,10205,275653455522128,28929,71,49400,42.298252,-83.702705,231.0,2.46,87.724998,0.19,20.01,-0.02,-0.77999997,1,-78.900002,48
10205,127,10205,275653455622122,28929,72,49500,42.298252,-83.702705,231.0,2.46,87.400002,5.9999999E-2,20.01,0.0,-3.21,1,-76.699997,86
10205,127,10205,275653455722206,28929,73,49600,42.298252,-83.702698,231.0,2.54,91.5,5.9999999E-2,20.01,0.0,-3.21,1,-73.599998,60
10205,127,10205,275653455822075,28929,74,49700,42.298252,-83.702698,231.0,2.54,91.625,0.14,20.01,0.0,1.34,1,-75.300003,42
10205,127,10205,275653455922014,28929,75,49800,42.298252,-83.70269,231.10001,2.54,88.050003,0.14,20.01,0.0,1.34,1,-80.5,37
10205,127,10205,275653456022021,28929,76,49900,42.298252,-83.70269,231.10001,2.5599999,87.875,0.12,20.01,0.02,-1.8099999,1,-84.599998,72
10205,127,10205,275653456122022,28929,77,50000,42.298252,-83.70269,231.2,2.5599999,91.337502,0.12,20.01,0.02,-1.8099999,1,-87.5,86
10205,127,10205,275653456222018,28929,78,50100,42.298252,-83.702682,231.2,2.5799999,91.512497,0.11,20.01,0.02,1.64,1,-95.300003,44
10205,127,10205,275653456321974,28929,79,50200,42.298252,-83.702682,231.2,2.6199999,89.175003,0.11,20.01,0.02,1.64,1,-108.5,40
10205,127,10205,275653456422151,28929,80,50300,42.298252,-83.702675,231.2,2.6199999,89.137497,0.15000001,20.01,0.02,-0.37,1,-122.8,68
10205,127,10205,275653456522099,28929,81,50400,42.298252,-83.702675,231.2,2.5599999,90.1875,0.15000001,20.01,0.02,-0.37,1,-138.2,98
10205,127,10205,275653456622014,28929,82,50500,42.298252,-83.702675,231.2,2.5599999,90.224998,3.9999999E-2,20.01,0.02,0.36000001,1,-157.89999,87
10205,127,10205,275653456722014,28929,83,50600,42.298252,-83.702667,231.2,2.5799999,89.75,3.9999999E-2,20.01,0.02,0.36000001,1,-183.5,85
10205,127,10205,275653456822041,28929,84,50700,42.298252,-83.702667,231.2,2.5799999,89.737503,0.02,20.01,0.0,-3.9999999E-2,1,-213.0,98
10205,127,10205,275653456922049,28929,85,50800,42.298248,-83.702667,231.2,2.52,91.762497,0.02,20.01,0.0,-3.9999999E-2,1,-247.2,96
10205,127,10205,275653457022017,28929,86,50900,42.298248,-83.70266,231.2,2.5,91.987503,-7.9999998E-2,20.01,0.0,2.23,1,-330.60001,48
10205,127,10205,275653457122122,28929,87,51000,42.298248,-83.70266,231.10001,2.52,92.037498,-7.9999998E-2,20.01,0.0,2.23,1,-562.59998,44
10205,127,10205,275653457222110,28929,88,51100,42.298248,-83.70266,231.10001,2.5,92.300003,-7.9999998E-2,20.01,-0.02,2.6300001,1,3276.7,43
10205,127,10205,275653457322080,28929,89,51200,42.298248,-83.702652,231.0,2.52,89.5,-7.9999998E-2,20.01,-0.02,2.6300001,1,826.79999,45
10205,127,10205,275653457422011,28929,90,51300,42.298248,-83.702652,231.0,2.52,89.412498,-3.9999999E-2,20.01,-0.02,-0.86000001,1,486.39999,55
10205,127,10205,275653457522209,28929,91,51400,42.298248,-83.702644,231.0,2.48,90.987503,-3.9999999E-2,20.01,-0.02,-0.86000001,1,416.5,43
10205,127,10205,275653457622118,28929,92,51500,42.298248,-83.702644,231.0,2.46,91.0,-9.0000004E-2,20.01,-0.02,0.15000001,1,384.70001,49
10205,127,10205,275653457722050,28929,93,51600,42.298248,-83.702637,231.0,2.3599999,90.387497,-9.0000004E-2,20.01,-0.02,0.15000001,1,371.5,64
10205,127,10205,275653457822027,28929,94,51700,42.298248,-83.702637,231.0,2.3399999,90.349998,-0.23999999,20.01,-0.02,-0.31,1,383.5,62
10205,127,10205,275653457922010,28929,95,51800,42.298248,-83.702637,230.89999,2.3599999,92.375,-0.23999999,20.01,-0.02,-0.31,1,416.10001,67
10205,127,10205,275653458022237,28929,96,51900,42.298248,-83.702629,230.89999,2.3399999,92.574997,-0.19,20.01,-0.02,1.97,1,381.60001,58
10205,127,10205,275653458122177,28929,97,52000,42.298248,-83.702629,230.8,2.3399999,88.412498,-0.19,20.01,-0.02,1.97,1,320.10001,47
10205,127,10205,275653458222167,28929,98,52100,42.298248,-83.702621,230.8,2.3199999,88.162498,-0.15000001,20.01,-3.9999999E-2,-2.54,1,354.5,46
10205,127,10205,275653458322179,28929,99,52200,42.298248,-83.702621,230.7,2.3800001,88.962502,-0.15000001,20.01,-3.9999999E-2,-2.54,1,507.70001,38
10205,127,10205,275653458422116,28929,100,52300,42.298248,-83.702621,230.7,2.3800001,88.712502,-3.9999999E-2,20.01,-3.9999999E-2,-2.49,1,1265.0,39
10205,127,10205,275653458522017,28929,101,52400,42.298248,-83.702614,230.60001,2.1800001,85.525002,-3.9999999E-2,20.01,-3.9999999E-2,-2.49,1,-1725.9,42
